Wem gehören eigentlich ___ in diesem Betrieb? (the means of production)	die Produktionsmittel	german noun b2
Er betrachtet seinen Laptop inzwischen als ___. (a means of production — accusative)	ein Produktionsmittel	german noun b2
Die Debatte über den Zugang zu ___ ist über hundert Jahre alt. (the means of production — dative)	den Produktionsmitteln	german noun b2
Ich ___ morgen noch einmal beim Vermieter ___. (to ask/inquire)	frage nach	german verb separable b1
Wir haben im Büro ___, aber niemand konnte uns helfen. (asked/inquired — past participle)	nachgefragt	german verb separable b1
Wenn du dir unsicher bist, solltest du lieber kurz ___. (to ask/inquire)	nachfragen	german verb separable b1
Bei Fragen stehe ich Ihnen gern zur ___. (disposal — zur ___ stehen)	Verfügung	german noun b2
Die Firma hat uns für das Projekt einen Raum zur ___ gestellt. (disposal — to make available)	Verfügung	german noun b2
Gegen ___ des Gerichts kann man Widerspruch einlegen. (the ruling/order — accusative)	die Verfügung	german noun b2
Aus diesem Gefängnis ___ niemand — die Mauern sind zu hoch. (to escape)	entkommt	german verb b2
Der Dieb ist der Polizei nur knapp ___. (escaped — past participle)	entkommen	german verb b2
Das Tier ___ dem Jäger und verschwand im dichten Wald. (escaped — simple past)	entkam	german verb b2
Ich ___ schon zehn Minuten an dem Schloss ___. (to fiddle around)	fummle herum	german verb separable b2
Es nervt mich, wenn du beim Essen ständig an deinem Handy ___. (to fiddle around)	herumfummelst	german verb separable b2
Der Techniker hat lange an den Kabeln ___, bis der Drucker endlich lief. (fiddled around — past participle)	herumgefummelt	german verb separable b2
Der Reporter ___ live aus dem Stadion über das Spiel. (to report)	berichtet	german verb b1
Der Zeuge ___ der Polizei alles, was er gesehen hatte. (reported — simple past)	berichtete	german verb b1
Unser Korrespondent soll morgen direkt aus Brüssel ___. (to report)	berichten	german verb b1
Keine Sorge, ich ___ die Lage ___. (to have under control)	habe im Griff	german phrase b1
Damals hatte er sein Temperament überhaupt nicht ___. (under control)	im Griff	german phrase b1
Er behauptet, dass er die neue Software längst ___ ___. (to have under control)	im Griff hat	german phrase b1
In seinem Aufsatz fehlt ___ fast völlig, es gibt nur Theorie. (the empirical evidence)	die Empirie	german noun c1
Diese Behauptung lässt sich mit ___ nur schwer belegen. (empirical evidence — dative)	der Empirie	german noun c1
Ohne ___ bleibt jedes Modell reine Spekulation. (empirical evidence — accusative)	die Empirie	german noun c1
___ du bitte das Radio ___? Ich möchte die Nachrichten hören. (to switch on)	schaltest ein	german verb separable a2
Ich habe den Rechner schon vor zehn Minuten ___. (switched on — past participle)	eingeschaltet	german verb separable a2
Vor dem Start müssen Sie das Gerät ___ und kurz warten. (to switch on)	einschalten	german verb separable a2
___ bitte den Motor ___, bevor du tankst. (switch off — imperative)	Schalt aus	german verb separable a2
Hast du den Herd wirklich ___? (switched off — past participle)	ausgeschaltet	german verb separable a2
Im Kino ist es üblich, dass man sein Handy ___. (to switch off)	ausschaltet	german verb separable a2
___ du bitte mal das Fenster ___? Es ist so warm hier drin. (to open)	machst auf	german verb separable a2
Sie hat die Tür ganz langsam ___. (opened — past participle)	aufgemacht	german verb separable a2
Ich weiß nicht, wie ich diese Flasche ohne Öffner ___ soll. (to open)	aufmachen	german verb separable a2
___ bitte die Tür ___, es zieht! (close — imperative)	Mach zu	german verb separable a2
Der Bäcker hat gestern schon um vier Uhr ___. (closed — past participle)	zugemacht	german verb separable a2
Ich gehe erst ins Bett, wenn ich alle Fenster ___. (to close)	zumache	german verb separable a2
Es wird dunkel — ich ___ mal das Licht ___. (to turn on)	mache an	german verb separable a2
Wer hat denn den Fernseher ___? (turned on — past participle)	angemacht	german verb separable a2
Kannst du bitte die Heizung ___? Mir ist kalt. (to turn on)	anmachen	german verb separable a2
___ du bitte den Computer ___, bevor du gehst? (to turn off)	machst aus	german verb separable a2
Vor dem Schlafengehen habe ich alle Lichter ___. (turned off — past participle)	ausgemacht	german verb separable a2
Es ___ mir nichts ___, wenn du eine halbe Stunde später kommst. (to matter/mind)	macht aus	german verb separable a2
___ für die Teilnahme ist eine gültige Anmeldung. (the condition)	Die Bedingung	german noun b1
Wir sollten ___ des Vertrags noch einmal genau durchlesen. (the conditions — accusative)	die Bedingungen	german noun b1
Er hat nur unter ___ zugestimmt, dass wir ihm dabei helfen. (the condition — dative)	der Bedingung	german noun b1
Wenn du dich beeilst, ___ du den Zug um sieben noch. (to catch/reach)	erreichst	german verb b1
Nach langen Verhandlungen haben sie endlich eine Einigung ___. (reached — past participle)	erreicht	german verb b1
Ich habe es mehrmals versucht, aber ich konnte ihn telefonisch nicht ___. (to reach [by phone])	erreichen	german verb b1
Der Dieb ___ ihr die Handtasche und rannte davon. (to snatch — simple past)	entriss	german verb b2
Man hat dem Land seine wichtigsten Rohstoffe ___. (snatched away — past participle)	entrissen	german verb b2
Die Ärzte konnten das Kind dem Tod ___. (to wrest/snatch from)	entreißen	german verb b2
Solche Fehler ___ zum Glück nur selten ___. (to occur)	treten auf	german verb b1
Wann ___ die Band heute Abend ___? (to perform/appear on stage)	tritt auf	german verb b1
Sie ist im Vorstellungsgespräch sehr selbstbewusst ___. (appeared/came across — past participle)	aufgetreten	german verb b1
Das Kind ___ nach dem bunten Ball. (to reach/grab)	greift	german verb b1
Kannst du mal in meine Tasche ___ und den Schlüssel holen? (to reach)	greifen	german verb b1
Er hat schnell nach dem Glas ___, bevor es umfiel. (grabbed — past participle)	gegriffen	german verb b1
Ich ___ einfach nicht, warum er so wütend ist. (to understand/grasp)	begreife	german verb b1
Hast du endlich ___, wie das Programm funktioniert? (understood — past participle)	begriffen	german verb b1
Erst nach dem Gespräch ___ sie, wie ernst die Lage war. (to grasp/realise)	begriff	german verb b1
Der Staat ___ das Grundstück, um dort eine neue Straße zu bauen. (to expropriate)	enteignet	german verb b2
Nach dem Krieg wurden viele Bauern ___. (expropriated — past participle)	enteignet	german verb b2
Manche Berliner wollen die großen Wohnungskonzerne ___. (to expropriate)	enteignen	german verb b2
