Deine Antwort ___ mich wirklich. (to astonish)	erstaunt	german verb b1
Die Nachricht ___ damals das ganze Dorf. (astonished — simple past)	erstaunte	german verb b1
Es dürfte niemanden ___, dass sie gewonnen hat. (to astonish)	erstaunen	german verb b1
Die Reparatur hat einen ___ Teil meines Gehalts gekostet. (considerable)	erheblichen	german adjective b2
Nach dem Sturm gab es ___ Schäden an den Häusern. (considerable)	erhebliche	german adjective b2
Die Preise sind im letzten Jahr ___ gestiegen. (considerably — adverb)	erheblich	german adjective b2
Ich finde, das ist eine ___ Entscheidung. (sensible)	vernünftige	german adjective b1
Wir brauchen endlich einen ___ Plan. (sensible/reasonable)	vernünftigen	german adjective b1
Jetzt sei doch bitte einmal ___! (sensible)	vernünftig	german adjective b1
Sie ___ seine Bemerkung als Beleidigung ___. (to take/interpret as)	fasst auf	german verb separable b2
Ich habe deine Frage leider falsch ___. (interpreted — past participle)	aufgefasst	german verb separable b2
Du solltest das nicht als Kritik ___. (to take/interpret as)	auffassen	german verb separable b2
